671181,Brighton &amp; Hove Albion,Burnley,1,1,2023-24 English Premier League,7,5,4,2,2,12,16,1.8,1.4,5,6,
671182,Crystal Palace,Liverpool,1,2,2023-24 English Premier League,4,4,8,11,4,1,16,1.2,2.8,2,9,
671183,Sheffield United,Brentford,1,0,2023-24 English Premier League,2,2,12,5,4,7,16,0.8,1.4,7,3,
671184,Manchester United,AFC Bournemouth,0,3,2023-24 English Premier League,9,0,7,5,4,7,16,1.8,2.0,13,4,
671185,Luton Town,Manchester City,1,2,2023-24 English Premier League,2,3,11,10,3,3,16,1.4,2.2,0,0,
671186,Wolverhampton Wanderers,Nottingham Forest,1,1,2023-24 English Premier League,5,4,7,3,5,8,16,1.4,1.2,7,4,
671187,Fulham,West Ham United,5,0,2023-24 English Premier League,6,3,7,7,3,6,16,2.4,1.8,2,6,
671188,Aston Villa,Arsenal,1,0,2023-24 English Premier League,11,2,3,11,3,2,16,2.0,3.2,5,10,
671189,Tottenham Hotspur,Newcastle United,4,1,2023-24 English Premier League,9,3,4,8,2,6,16,1.4,1.2,12,13,
671190,Everton,Chelsea,2,0,2023-24 English Premier League,7,2,7,5,4,7,16,1.6,2.6,4,6,
